,,% Trade,% of ETF,CUSIP,Date,Direction,FUND,Name,Shares,Ticker
0,,,0.006,48581R205,2021-06-11,Buy,ARKF,KASPI.KZ JSC,2346,KSPILI
1,,,0.0069,15117K103,2021-06-11,Buy,ARKG,CELLECTIS SA,40000,CLLS
2,,,0.0,253031108,2021-06-11,Buy,ARKG,DICERNA PHARMACEUTICALS INC,101,DRNA
3,,,0.0222,65443P102,2021-06-11,Buy,ARKG,908 DEVICES INC,47140,MASS
4,,,0.3411,92532F100,2021-06-11,Buy,ARKG,VERTEX PHARMACEUTICALS INC,154453,VRTX
5,,,0.0189,40131M109,2021-06-11,Sell,ARKG,GUARDANT HEALTH INC,14000,GH
6,,,0.0015,72940R300,2021-06-11,Sell,ARKG,PLURISTEM THERAPEUTICS INC,31398,PSTI
7,,,0.0403,74624M102,2021-06-11,Sell,ARKK,PURE STORAGE INC,461297,PSTG
8,,,0.053,66987V109,2021-06-11,Sell,ARKK,NOVARTIS AG,124596,NVS
9,,,0.0,44852D108,2021-06-11,Sell,ARKK,HUYA INC,189,HUYA
10,,,0.0086,G50740102,2021-06-11,Buy,ARKQ,JAWS SPITFIRE ACQUISITION CORP,25000,SPFR
11,,,0.0195,G3770A102,2021-06-11,Sell,ARKQ,GALILEO ACQUISITION CORP,57015,GLEO
12,,,0.0359,754212108,2021-06-11,Sell,ARKQ,RAVEN INDUSTRIES INC,24235,RAVN
13,,,0.0015,45866F104,2021-06-11,Sell,ARKW,INTERCONTINENTAL EXCHANGE INC,750,ICE
14,,,0.0249,48581R205,2021-06-10,Buy,ARKF,KASPI.KZ JSC,9882,KSPILI
15,,,0.0014,125842203,2021-06-10,Buy,ARKG,CM LIFE SCIENCES II INC,9200,CMIIU
16,,,0.1937,90364P105,2021-06-10,Buy,ARKG,UIPATH INC,242492,PATH
17,,,0.1462,40131M109,2021-06-10,Sell,ARKG,GUARDANT HEALTH INC,111028,GH
18,,,0.0015,72940R300,2021-06-10,Sell,ARKG,PLURISTEM THERAPEUTICS INC,30753,PSTI
19,,,0.0632,19260Q107,2021-06-10,Buy,ARKK,COINBASE GLOBAL INC,60813,COIN
20,,,0.2003,90364P105,2021-06-10,Buy,ARKK,UIPATH INC,604635,PATH
21,,,0.0103,74624M102,2021-06-10,Sell,ARKK,PURE STORAGE INC,116556,PSTG
22,,,0.0434,66987V109,2021-06-10,Sell,ARKK,NOVARTIS AG,100388,NVS
23,,,0.148,45866F104,2021-06-10,Sell,ARKK,INTERCONTINENTAL EXCHANGE INC,285720,ICE
24,,,0.2077,90364P105,2021-06-10,Buy,ARKQ,UIPATH INC,87472,PATH
25,,,0.0697,50077B207,2021-06-10,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,77623,KTOS
26,,,0.026,46269C102,2021-06-10,Buy,ARKQ,IRIDIUM COMMUNICATIONS INC,19506,IRDM
27,,,0.0008,G3770A102,2021-06-10,Sell,ARKQ,GALILEO ACQUISITION CORP,2249,GLEO
28,,,0.0068,754212108,2021-06-10,Sell,ARKQ,RAVEN INDUSTRIES INC,4442,RAVN
29,,,0.1144,880770102,2021-06-10,Sell,ARKQ,TERADYNE INC,26560,TER
30,,,0.1918,90364P105,2021-06-10,Buy,ARKW,UIPATH INC,147038,PATH
31,,,0.1983,88032Q109,2021-06-10,Sell,ARKW,TENCENT HOLDINGS LTD,139840,TCEHY
32,,,0.1987,482497104,2021-06-09,Buy,ARKF,KE HOLDINGS INC,152549,BEKE
33,,,0.0034,48581R205,2021-06-09,Buy,ARKF,KASPI.KZ JSC,1351,KSPILI
34,,,0.2056,90364P105,2021-06-09,Buy,ARKF,UIPATH INC,104352,PATH
35,,,0.4056,256163106,2021-06-09,Sell,ARKF,DOCUSIGN INC,61431,DOCU
36,,,0.0,125842203,2021-06-09,Buy,ARKG,CM LIFE SCIENCES II INC,300,CMIIU
37,,,0.1466,81578P106,2021-06-09,Buy,ARKG,SEER INC,406200,SEER
38,,,0.0001,87184Q107,2021-06-09,Sell,ARKG,SYROS PHARMACEUTICALS INC,911,SYRS
39,,,0.0034,72940R300,2021-06-09,Sell,ARKG,PLURISTEM THERAPEUTICS INC,67243,PSTI
40,,,0.0047,40131M109,2021-06-09,Sell,ARKG,GUARDANT HEALTH INC,3501,GH
41,,,0.1431,19260Q107,2021-06-09,Buy,ARKK,COINBASE GLOBAL INC,134921,COIN
42,,,0.0719,90364P105,2021-06-09,Buy,ARKK,UIPATH INC,211731,PATH
43,,,0.0749,256163106,2021-06-09,Sell,ARKK,DOCUSIGN INC,65363,DOCU
44,,,0.0004,44852D108,2021-06-09,Sell,ARKK,HUYA INC,5000,HUYA
45,,,0.0508,45866F104,2021-06-09,Sell,ARKK,INTERCONTINENTAL EXCHANGE INC,96883,ICE
46,,,0.2078,91332U101,2021-06-09,Buy,ARKQ,UNITY SOFTWARE INC,61597,U
47,,,0.4028,90364P105,2021-06-09,Buy,ARKQ,UIPATH INC,164169,PATH
48,,,0.0837,50077B207,2021-06-09,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,91602,KTOS
49,,,0.0802,559222401,2021-06-09,Sell,ARKQ,MAGNA INTERNATIONAL INC,23810,MGA
50,,,0.0803,N6596X109,2021-06-09,Sell,ARKQ,NXP SEMICONDUCTORS NV,11865,NXPI
51,,,0.0027,G3770A102,2021-06-09,Sell,ARKQ,GALILEO ACQUISITION CORP,7919,GLEO
52,,,0.0107,754212108,2021-06-09,Sell,ARKQ,RAVEN INDUSTRIES INC,6936,RAVN
53,,,0.4852,880770102,2021-06-09,Sell,ARKQ,TERADYNE INC,113088,TER
54,,,0.1184,88554D205,2021-06-09,Sell,ARKQ,3D SYSTEMS CORP,112358,DDD
55,,,0.1944,19260Q107,2021-06-09,Buy,ARKW,COINBASE GLOBAL INC,47042,COIN
56,,,0.1562,90364P105,2021-06-09,Buy,ARKW,UIPATH INC,122493,PATH
57,,,0.1969,771049103,2021-06-09,Sell,ARKW,ROBLOX CORP,116917,RBLX
58,,,0.0174,45866F104,2021-06-09,Sell,ARKW,INTERCONTINENTAL EXCHANGE INC,8500,ICE
59,,,0.1513,256163106,2021-06-09,Sell,ARKW,DOCUSIGN INC,34414,DOCU
60,,,0.1489,46269C102,2021-06-09,Buy,ARKX,IRIDIUM COMMUNICATIONS INC,23919,IRDM
61,,,0.3482,90364P105,2021-06-09,Buy,ARKX,UIPATH INC,30193,PATH
62,,,0.5072,097023105,2021-06-09,Sell,ARKX,BOEING CO/THE,12596,BA
63,,,0.1172,H2906T109,2021-06-09,Sell,ARKX,GARMIN LTD,5170,GRMN
64,,,0.0068,48581R205,2021-06-08,Buy,ARKF,KASPI.KZ JSC,2597,KSPILI
65,,,0.0045,86877M209,2021-06-08,Buy,ARKG,SURFACE ONCOLOGY INC,50000,SURF
66,,,0.0127,81578P106,2021-06-08,Buy,ARKG,SEER INC,34873,SEER
67,,,0.001,760273102,2021-06-08,Buy,ARKG,REPARE THERAPEUTICS INC,2636,RPTX
68,,,0.066,68269G107,2021-06-08,Buy,ARKG,1LIFE HEALTHCARE INC,159300,ONEM
69,,,0.0005,125842203,2021-06-08,Buy,ARKG,CM LIFE SCIENCES II INC,3213,CMIIU
70,,,0.005,72940R300,2021-06-08,Sell,ARKG,PLURISTEM THERAPEUTICS INC,102899,PSTI
71,,,0.1186,88025U109,2021-06-08,Sell,ARKG,10X GENOMICS INC,54314,TXG
72,,,0.0141,H17182108,2021-06-08,Buy,ARKK,CRISPR THERAPEUTICS AG,25000,CRSP
73,,,0.1796,L8681T102,2021-06-08,Buy,ARKK,SPOTIFY TECHNOLOGY SA,156995,SPOT
74,,,0.067,90364P105,2021-06-08,Buy,ARKK,UIPATH INC,192457,PATH
75,,,0.002,69404D108,2021-06-08,Buy,ARKK,PACIFIC BIOSCIENCES OF CALIFORNIA INC,15000,PACB
76,,,0.0,87184Q107,2021-06-08,Sell,ARKK,SYROS PHARMACEUTICALS INC,913,SYRS
77,,,0.0,68620A203,2021-06-08,Sell,ARKK,ORGANOVO HOLDINGS INC,496,ONVO
78,,,0.1002,45866F104,2021-06-08,Sell,ARKK,INTERCONTINENTAL EXCHANGE INC,192142,ICE
79,,,0.0106,44852D108,2021-06-08,Sell,ARKK,HUYA INC,145900,HUYA
80,,,0.054,256163106,2021-06-08,Sell,ARKK,DOCUSIGN INC,46938,DOCU
81,,,0.1967,91332U101,2021-06-08,Buy,ARKQ,UNITY SOFTWARE INC,59183,U
82,,,0.504,896239100,2021-06-08,Buy,ARKQ,TRIMBLE INC,189913,TRMB
83,,,0.0198,50077B207,2021-06-08,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,21930,KTOS
84,,,0.0154,754212108,2021-06-08,Sell,ARKQ,RAVEN INDUSTRIES INC,9987,RAVN
85,,,0.2141,N6596X109,2021-06-08,Sell,ARKQ,NXP SEMICONDUCTORS NV,31800,NXPI
86,,,0.223,559222401,2021-06-08,Sell,ARKQ,MAGNA INTERNATIONAL INC,66300,MGA
87,,,0.0038,G3770A102,2021-06-08,Sell,ARKQ,GALILEO ACQUISITION CORP,11228,GLEO
88,,,0.1801,88554D205,2021-06-08,Sell,ARKQ,3D SYSTEMS CORP,170407,DDD
89,,,0.1932,91332U101,2021-06-08,Buy,ARKW,UNITY SOFTWARE INC,107828,U
90,,,0.1357,771049103,2021-06-08,Sell,ARKW,ROBLOX CORP,81691,RBLX
91,,,0.0851,83304A106,2021-06-08,Sell,ARKW,SNAP INC,77407,SNAP
92,,,0.2202,46269C102,2021-06-08,Buy,ARKX,IRIDIUM COMMUNICATIONS INC,36239,IRDM
93,,,0.9765,G5074S101,2021-06-08,Buy,ARKX,JD LOGISTICS INC,1066971,2618HK
94,,,0.4003,91332U101,2021-06-08,Buy,ARKX,UNITY SOFTWARE INC,26115,U
95,,,0.1273,H2906T109,2021-06-08,Sell,ARKX,GARMIN LTD,5641,GRMN
96,,,1.0018,47215P106,2021-06-08,Sell,ARKX,JD.COM INC,84885,JD
97,,,0.3667,848574109,2021-06-08,Sell,ARKX,SPIRIT AEROSYSTEMS HOLDINGS INC,44545,SPR
98,,,0.0033,48581R205,2021-06-07,Buy,ARKF,KASPI.KZ JSC,1256,KSPILI
99,,,0.001,760273102,2021-06-07,Buy,ARKG,REPARE THERAPEUTICS INC,2663,RPTX
100,,,0.1798,68269G107,2021-06-07,Buy,ARKG,1LIFE HEALTHCARE INC,429564,ONEM
101,,,0.0009,65443P102,2021-06-07,Buy,ARKG,908 DEVICES INC,1746,MASS
102,,,0.0001,125842203,2021-06-07,Buy,ARKG,CM LIFE SCIENCES II INC,801,CMIIU
103,,,0.0033,07373V105,2021-06-07,Buy,ARKG,BEAM THERAPEUTICS INC,3311,BEAM
104,,,0.0041,72940R300,2021-06-07,Sell,ARKG,PLURISTEM THERAPEUTICS INC,82000,PSTI
105,,,0.0004,87184Q107,2021-06-07,Sell,ARKG,SYROS PHARMACEUTICALS INC,5500,SYRS
106,,,0.1217,88025U109,2021-06-07,Sell,ARKG,10X GENOMICS INC,55122,TXG
107,,,0.0057,91332U101,2021-06-07,Buy,ARKK,UNITY SOFTWARE INC,12629,U
108,,,0.0696,L8681T102,2021-06-07,Buy,ARKK,SPOTIFY TECHNOLOGY SA,60383,SPOT
109,,,0.0,69553P100,2021-06-07,Buy,ARKK,PAGERDUTY INC,20,PD
110,,,0.0057,90364P105,2021-06-07,Buy,ARKK,UIPATH INC,16538,PATH
111,,,0.0013,H17182108,2021-06-07,Buy,ARKK,CRISPR THERAPEUTICS AG,2417,CRSP
112,,,0.0,68620A203,2021-06-07,Sell,ARKK,ORGANOVO HOLDINGS INC,500,ONVO
113,,,0.0013,45866F104,2021-06-07,Sell,ARKK,INTERCONTINENTAL EXCHANGE INC,2395,ICE
114,,,0.0616,44852D108,2021-06-07,Sell,ARKK,HUYA INC,877347,HUYA
115,,,0.1232,256163106,2021-06-07,Sell,ARKK,DOCUSIGN INC,107900,DOCU
116,,,0.0001,87184Q107,2021-06-07,Sell,ARKK,SYROS PHARMACEUTICALS INC,5000,SYRS
117,,,0.044,50077B207,2021-06-07,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,49694,KTOS
118,,,0.0371,65481N100,2021-06-07,Buy,ARKQ,NIU TECHNOLOGIES,32798,NIU
